,id,source,arrivetime,leavetime,ismobile,ismobilesite,totalpageviews,country,region,city,ip_latitude,ip_longitude,geo_latitude,geo_longitude
0,34961907,web,2019-11-26 02:50:01.374,2019-11-26 02:50:02.394,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
2,34961919,app,2019-11-26 02:50:02.647,2019-11-26 02:51:17.552,True,False,2.0,alb,11,tirana,41.3311,19.8318,41.3730320258483,19.6785775978985
3,34961982,web,2019-11-26 02:50:02.779,2019-11-26 02:50:04.463,False,False,1.0,aus,nsw,north ryde,-33.79677,151.12436,,
4,34961920,app,2019-11-26 02:50:02.877,2019-11-26 02:51:02.877,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
5,34961983,web,2019-11-26 02:50:02.932,2019-11-26 02:52:45.054,True,False,5.0,alb,11,tirana,41.3311,19.8318,,
6,34961921,app,2019-11-26 02:50:03.170,2019-11-26 02:51:07.374,True,False,2.0,alb,11,tirana,41.3311,19.8318,,
7,34961923,web,2019-11-26 02:50:03.591,2019-11-26 02:53:10.447,True,False,21.0,alb,11,tirana,41.3311,19.8318,,
8,34961930,web,2019-11-26 02:50:05.318,2019-11-26 02:53:34.779,False,False,1.0,cze,10,prague,50.0792,14.433,,
10,34961941,app,2019-11-26 02:50:06.068,2019-11-26 02:51:06.530,True,False,3.0,alb,11,tirana,41.3311,19.8318,41.3310169435919,19.8331570030493
11,34961937,web,2019-11-26 02:50:06.610,2019-11-26 02:51:29.800,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
12,34962005,web,2019-11-26 02:50:06.780,2019-11-26 02:50:45.015,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
13,34961948,app,2019-11-26 02:50:07.569,2019-11-26 02:51:55.701,True,False,4.0,alb,11,tirana,41.3311,19.8318,41.3117298443292,19.4486160301139
14,34961944,web,2019-11-26 02:50:07.857,2019-11-26 02:50:28.126,False,False,1.0,usa,oh,columbus,39.98723,-83.04386,,
15,34961956,web,2019-11-26 02:50:08.792,2019-11-26 02:50:15.843,True,False,1.0,usa,wa,langley,48.0338,-122.44857,,
16,34961970,web,2019-11-26 02:50:12.860,2019-11-26 02:50:13.899,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
17,34961973,web,2019-11-26 02:50:13.130,2019-11-26 02:50:16.221,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
18,34962036,web,2019-11-26 02:50:13.425,2019-11-26 02:50:38.858,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
19,34961985,app,2019-11-26 02:50:13.559,2019-11-26 02:51:13.978,True,False,3.0,rou,b,bucharest,44.4342,26.1029,44.4416649,26.1256697
20,34962037,web,2019-11-26 02:50:13.560,2019-11-26 02:50:22.598,True,False,2.0,rus,nvs,novosibirsk,55.03923,82.92782,,
21,34961987,app,2019-11-26 02:50:13.822,2019-11-26 02:51:13.822,True,False,1.0,alb,11,tirana,41.3311,19.8318,41.3142600446987,19.7891976070983
22,34961990,app,2019-11-26 02:50:14.712,2019-11-26 02:51:14.712,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
23,34961997,app,2019-11-26 02:50:14.725,2019-11-26 02:51:14.725,True,False,1.0,fra,idf,bruyeres-le-chatel,48.5936,2.1925,,
25,34961999,app,2019-11-26 02:50:15.943,2019-11-26 02:51:16.150,True,False,3.0,ukr,43,simferopol,45.14424,34.23682,40.5673217910066,22.9606850962608
26,34962000,app,2019-11-26 02:50:16.269,2019-11-26 02:51:16.269,True,False,1.0,alb,11,tirana,41.3311,19.8318,41.3026008,19.8180856
27,34962076,web,2019-11-26 02:50:17.573,2019-11-26 02:55:57.336,True,False,3.0,rus,mow,moscow,55.7616,37.6411,,
28,34962004,web,2019-11-26 02:50:17.991,2019-11-26 02:50:27.069,True,False,1.0,usa,wa,burlington,48.50328,-122.36046,,
29,34962089,web,2019-11-26 02:50:19.546,2019-11-26 02:50:26.619,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
30,34962092,web,2019-11-26 02:50:20.176,2019-11-26 02:50:20.654,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
31,34962017,web,2019-11-26 02:50:21.245,2019-11-26 02:50:22.487,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
32,34962102,web,2019-11-26 02:50:21.581,2019-11-26 02:50:23.614,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
33,34962024,web,2019-11-26 02:50:22.696,2019-11-26 02:50:24.049,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
34,34962044,app,2019-11-26 02:50:22.998,2019-11-26 02:52:14.688,True,False,9.0,mys,14,kuala lumpur,3.1507,101.7133,,
35,34962043,app,2019-11-26 02:50:23.504,2019-11-26 02:51:33.121,True,False,2.0,alb,11,tirana,41.3311,19.8318,41.3287773132324,19.8667907714844
36,34962030,web,2019-11-26 02:50:23.996,2019-11-26 03:00:42.211,True,False,16.0,alb,11,tirana,41.3311,19.8318,,
37,34962031,web,2019-11-26 02:50:24.280,2019-11-26 02:50:25.013,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
38,34962046,app,2019-11-26 02:50:24.444,2019-11-26 02:51:24.956,True,False,2.0,alb,11,tirana,41.3311,19.8318,42.6938064680165,12.6454654601936
39,34962038,web,2019-11-26 02:50:25.204,2019-11-26 02:50:26.320,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
40,34962063,app,2019-11-26 02:50:25.455,2019-11-26 02:51:25.455,True,False,1.0,usa,ca,hermosa beach,33.86602,-118.3958,33.829303741455,-118.3763885498
41,34962131,web,2019-11-26 02:50:25.863,2019-11-26 02:50:28.666,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
42,34962144,web,2019-11-26 02:50:26.965,2019-11-26 02:50:27.803,True,False,1.0,alb,11,tirana,41.3311,19.8318,,
